ID,TUMOR,DAY,GROUP,STO2,HB,A,B,STO2_SD,HB_SD,A_SD,B_SD
PS009,P2,5,MG,0.698957302,5.238044741,5.414532038,0.556191831,0.041014568,0.469775452,0.04290291,0.211539536
PS009,P1,6,MG,,,,,,,,
PS009,P2,6,MG,,,,,,,,
PS010,P1,1,MG,,,,,,,,
PS010,P2,1,MG,0.762683708,4.715620506,6.704866623,0.733875682,0.097735958,0.401123639,0.132772281,0.209605506
PS010,P3,1,MG,,,,,,,,
PS010,P1,2,MG,0.74851436,5.156276365,6.979174866,0.724864956,0.114317459,0.356494146,0.154685426,0.224979964
PS010,P2,2,MG,0.744884765,4.404161136,6.167112016,0.730563674,0.069949243,0.489743389,0.08806277,0.041835584
PS010,P3,2,MG,,,,,,,,
PS010,P1,3,MG,,,,,,,,
PS010,P2,3,MG,0.751352587,5.380011497,6.289145461,0.568941437,0.064603532,0.040664185,0.011562732,0.182389409
PS010,P3,3,MG,0.513575963,5.053205919,7.542733732,0.637307861,0,0,0,0
PS010,P1,4,MG,,,,,,,,
PS010,P2,4,MG,0.588510227,3.671225348,7.628004159,0.701539705,0.013373977,0.252369255,0.009468645,0.101835372
PS010,P3,4,MG,0.707355213,4.30708369,8.724067314,0.730495282,0.031238406,1.511967877,0.11108833,0.18805261
PS010,P1,5,MG,,,,,,,,
PS010,P2,5,MG,,,,,,,,
PS010,P3,5,MG,,,,,,,,
PS010,P1,6,MG,,,,,,,,
PS010,P2,6,MG,,,,,,,,
PS010,P3,6,MG,,,,,,,,
PS011,P1,1,MG,0.608080821,4.179041227,6.408019118,0.844932348,0.162819896,1.219709399,0.050380792,0.149718323
PS011,P1,2,MG,0.655711259,3.629101198,5.258286554,0.737468029,0.049389045,0.743137472,0.021007048,0.263845239
PS011,P1,3,MG,0.724015266,5.28854296,5.857923927,0.999433964,0.033920346,0.169867152,0.033705939,0.141383738
PS011,P1,4,MG,0.795137755,5.238190241,5.844966126,0.939102003,0.039385962,0.174056608,0.015085547,0.143641264
PS011,P1,5,MG,,,,,,,,
PS011,P1,6,MG,,,,,,,,
PS015,P1,1,MG,0.604168316,4.003012566,6.670585998,0.716028663,0.162813442,0.94811908,0.090611631,0.21386872
PS015,P1,2,MG,0.481865041,3.533298225,6.664536348,0.781625039,0.157078164,1.285239729,0.095667708,0.235620747
PS015,P1,3,MG,,,,,,,,
PS015,P1,4,MG,,,,,,,,
PS015,P1,5,MG,,,,,,,,
PS015,P1,6,MG,,,,,,,,
PS004,P3,1,CG,0.727126285,4.180291735,6.139033368,0.745511473,0.102136915,0.483286476,0.048006666,0.230661505
PS004,P4,1,CG,,,,,,,,
PS004,P1,3,CG,0.851017404,4.770885301,7.038419738,0.381392409,0.10095583,0.459191325,0.149679299,0.214452176
PS004,P3,3,CG,0.665649919,4.433469748,6.831852054,0.483976466,0.066483469,0.958871134,0.079012688,0.236897636
PS004,P4,3,CG,0.653868548,3.343584941,7.599527793,0.599359348,0.025411862,0.596017243,0.029992262,0.118638936
PS004,P1,4,CG,0.603958651,4.310137054,6.163054841,0.92413907,0.049789386,1.091589977,0.057777049,0.214993168
PS004,P4,4,CG,0.82269833,5.296870451,5.795485719,0.525964868,0.069291135,0.084804993,0.020822931,0.168046141
PS004,P1,5,CG,0.614631812,3.444919492,7.410632821,0.738465263,0.073479277,0.739329366,0.106925133,0.106756616
PS004,P4,5,CG,0.712450123,5.365624907,7.657770041,0.730495001,0.033549021,0.052324844,0.029093302,0.055045802
PS004,P1,6,CG,0.73521196,4.376599459,7.793197052,0.750419157,0.063957447,0.844280456,0.038299889,0.132184447
PS004,P4,6,CG,0.627131582,3.931318043,7.826430283,0.695445217,0.051065812,0.707342795,0.047849181,0.123942686
PS005,P1,1,CG,0.696154342,3.781848214,6.764793728,0.774344465,0.122606562,0.772903902,0.080811751,0.142807601
PS005,P1,2,CG,0.873534629,4.053048485,6.415556208,0.853110477,0.147549825,1.105006361,0.100550509,0.13322241
PS005,P1,3,CG,0.777123674,5.188159507,8.346892058,0.166594409,0,0,0,0
PS005,P1,4,CG,,,,,,,,
PS005,P1,5,CG,0.628471637,5.324180082,8.222148945,0.465424926,0.012466105,0.107560132,0.008578581,0.23188485
PS005,P4,5,CG,0.706769166,5.033459924,6.782815467,0.876147989,0.029855849,0.355728544,0.005974223,0.062281147
PS005,P1,6,CG,0.686002768,4.382957675,7.139340535,0.555386185,0.036677839,0.750454208,0.041244774,0.146528666
PS012,P3,1,CG,0.626111585,4.439942738,5.8803525,0.741390314,0.098068952,0.923444804,0.084052565,0.140951135
PS012,P1,3,CG,0.757884872,4.332918577,5.91684828,0.471322411,0.059834415,0.818741531,0.106970568,0.209037438
PS012,P3,3,CG,0.726118873,4.146054081,8.265597116,0.656638064,0.023342412,0.735813519,0.029565028,0.099413835
PS012,P4,3,CG,0.809872255,4.93858405,7.624709264,0.706097931,0.081665522,0.121518917,0.186882041,0.328805304
PS012,P1,4,CG,0.581723442,3.653735797,6.799085371,1.010546255,0.062252047,1.296341324,0.027186078,0.162141499
PS012,P2,4,CG,0.704719362,4.654168569,7.663910304,0.946793864,0.087801991,0.612780688,0.033088671,0.110845392
PS012,P3,4,CG,0.692287309,4.325219496,7.319066723,1.044011782,0.05352716,0.716574998,0.061280605,0.133577443
PS012,P4,4,CG,0.647293751,4.69250455,8.217790771,0.981541949,0.051239989,0.655969707,0.104215234,0.223298882
PS012,P1,5,CG,0.825044362,5.209552538,9.354285105,0.737859711,0.073401101,0.19183414,0.053742767,0.055728978
PS012,P3,5,CG,0.748687006,3.751216604,8.054053144,0.941398411,0.035075278,1.019941769,0.02867605,0.175522277
PS012,P1,6,CG,0.741364609,4.5206619,9.099509086,0.734512791,0.051448201,0.804679712,0.057234606,0.129329601
PS012,P2,6,CG,0.810330037,5.268363572,7.639525448,0.836878341,0.10644071,0.144669358,0.084631433,0.175612037
PS012,P3,6,CG,0.743968989,3.703218812,7.636007672,0.88273113,0.066651221,1.041052704,0.026028051,0.103200988
PS013,P1,1,CG,0.853525123,5.244212805,7.837797778,0.654216444,0.117237985,0.152704047,0.034277691,0.18862429
PS013,P2,1,CG,0.672093845,3.480022261,8.226842255,0.859555691,0.030308117,1.114018342,0.073885765,0.199198844
PS013,P1,2,CG,0.642315585,2.890280177,7.505040111,0.780626994,0.040431521,0.377165665,0.03382663,0.09558265
PS013,P2,2,CG,0.721039659,4.880909974,8.349245289,0.85615154,0.091621735,0.39268793,0.054058066,0.160651492
PS013,P1,3,CG,0.618261966,4.260298962,8.094455935,0.85307125,0.037276854,0.47151825,0.029247234,0.085194604
PS013,P2,3,CG,0.724445161,3.821465658,9.49535244,0.813422309,0.065869811,0.667172091,0.038185337,0.218789405
PS013,P1,4,CG,0.681254982,4.124276489,7.806420384,0.826336935,0.025783029,0.557984835,0.043298134,0.088508372
PS013,P2,4,CG,0.714978432,4.276943853,9.249782976,0.756130896,0.043120223,0.941671319,0.03133893,0.108753204
PS013,P1,5,CG,0.757009485,4.544556116,7.946791341,0.827245997,0.05409272,0.530539784,0.033375528,0.070315705
PS013,P2,5,CG,0.740120505,4.148535051,8.891384964,0.819473648,0.082526292,0.653134035,0.054134693,0.138188511
PS013,P1,6,CG,0.671916613,3.746639253,7.308429934,0.689544774,0.091712533,1.247477922,0.058328215,0.295002657
PS013,P2,6,CG,0.636811999,4.501517703,8.64553223,0.870575408,0.029751217,0.616072182,0.021590805,0.042367181
