ID,TUMOR,DAY,GROUP,STO2,HB,A,B,STO2_SD,HB_SD,A_SD,B_SD
C302,P1,1,MG,0.808722,3.739283,7.297958,0.429386,0.119047,0.732454,0.165094,0.194828
C302,P1,2,MG,0.698807,5.00589,7.653891,0.836499,0.062413,0.487943,0.025927,0.082978
C302,P1,3,MG,0.812872,5.323194,6.015469,0.631217,0,0,0,0
C302,P1,4,MG,0.771965,2.906668,6.720429,0.587128,0.149149,0.569099,0.064516,0.110374
C302,P1,5,MG,0.740923,5.155823,6.427906,0.726776,0.082179,0.329455,0.033771,0.188615
C302,P1,6,MG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C304,P1,1,MG,0.6798,3.491214,9.76075,0.404996,0.14928,0.790867,0.029889,0.100947
C304,P3,1,MG,0.716712,3.544702,9.041386,0.586776,0.036956,0.560917,0.063416,0.095998
C304,P1,2,MG,0.767672,4.110109,9.026472,0.706209,0.090358,0.620475,0.104103,0.188257
C304,P3,2,MG,0.806994,5.255458,8.069668,0.682624,0.088832,0.119612,0.042421,0.151168
C304,P1,3,MG,0.727975,4.071,9.133166,0.671881,0.082324,0.981414,0.083836,0.201994
C304,P3,3,MG,0.661267,4.162112,8.574681,0.70575,0.074569,0.968541,0.063156,0.078771
C304,P1,4,MG,0.798567,4.737964,9.407998,0.668082,0.090712,0.818358,0.074991,0.141122
C304,P3,4,MG,0.716489,3.463485,9.190742,0.72309,0.090142,0.764471,0.109955,0.129526
C304,P1,5,MG,0.760246,4.910255,9.115101,0.69887,0.064863,0.453243,0.089564,0.11112
C304,P3,5,MG,0.682341,4.391978,8.272454,0.849841,0.059889,0.844679,0.034016,0.159234
C304,P1,6,MG,0.807984,4.101442,9.765087,0.964923,0.10209,0.261281,0.033221,0.485015
C304,P3,6,MG,0.795535,4.623494,8.535946,0.734703,0.047992,1.168104,0.099797,0.179375
C304,P4,6,MG,0.738031,3.797601,7.300247,0.906405,0.041708,0.781026,0.052065,0.105768
C305,P1,1,MG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C305,P1,2,MG,0.703011,3.677192,9.166818,0.671401,0.108048,1.225421,0.0936,0.133993
C305,P1,3,MG,0.769642,3.483847,8.624963,0.520719,0.038507,0.855108,0.103388,0.062859
C305,P1,4,MG,0.824049,4.831112,9.236771,0.739427,0.078373,0.844281,0.05761,0.249617
C305,P1,5,MG,0.757018,5.056799,8.462341,0.837277,0.049316,0.412325,0.068243,0.192206
C305,P1,6,MG,0.70742,5.025562,9.748211,0.67048,0.124243,0.517877,0.04726,0.186861
C306,P1,1,MG,0.799829,4.76888,7.280161,0.807771,0.061697,0.547485,0.178959,0.328414
C306,P1,2,MG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C306,P1,3,MG,0.819452,3.973592,7.962852,0.64108,0.076879,1.075598,0.157144,0.20177
C306,P1,4,MG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C306,P1,5,MG,0.70656,4.353921,6.669444,0.841376,0.041554,0.725094,0.08158,0.129131
C306,P1,6,MG,0.674123,4.922344,7.640361,0.930589,0.065489,0.466961,0.025632,0.095425
C307,P1,1,MG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C307,P2,1,MG,0.73975,4.281619,9.531901,0.667315,0.069206,0.78045,0.02849,0.151816
C307,P1,2,MG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C307,P2,2,MG,0.693195,3.904207,7.792838,0.691381,0.032861,0.834263,0.060771,0.149662
C307,P1,3,MG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C307,P2,3,MG,0.694638,4.154066,8.340473,0.837953,0.050108,0.482883,0.075628,0.145363
C307,P1,4,MG,0.858902,5.03107,9.283756,0.841677,0.081042,0.488912,0.0691,0.118897
